# of Units,Incident Alarm Time,Problem Type,Location,Location Type
1,07/19/2018 17:21:25,"Medical assist, assist EMS crew",1600 N IH 35  ,"24-hour care Nursing homes, 4 or more persons"
7,07/19/2018 17:51:22,Fire in mobile home used as fixed residence,1310  River RD ,1 or 2 family dwelling
1,07/19/2018 18:25:37,Assist police or other governmental agency,1144  Lago Vista  ,1 or 2 family dwelling
1,07/19/2018 18:57:35,"EMS call, excluding vehicle accident with injury",338 S Guadalupe ST ,Bus station
1,07/19/2018 19:48:32,Public service,1400  Aquarena Springs DR ,"Food and beverage sales, grocery store"
1,07/19/2018 20:53:27,"EMS call, excluding vehicle accident with injury",1200  Hwy 123  ,Vehicle parking area
1,07/19/2018 21:33:50,"EMS call, excluding vehicle accident with injury",442  Stagecoach TRL ,1 or 2 family dwelling
10,07/20/2018 4:28:26,Building fire - Residential,222  Ramsay ST ,Multifamily dwellings
1,07/20/2018 4:28:26,Building fire,222  Ramsay ST ,Multifamily dwellings
1,07/20/2018 4:28:26,Building fire,222  Ramsay ST ,Multifamily dwellings
1,07/20/2018 4:28:26,Building fire,222  Ramsay ST ,Multifamily dwellings
0,07/20/2018 8:23:46,Alarm system sounded due to malfunction,301 N Guadalupe ST ,Restaurant or cafeteria
1,07/20/2018 15:57:51,Gas leak (natural gas or LPG),3004  Brand Iron DR ,Construction site
1,07/20/2018 16:09:27,Motor vehicle accident with no injuries,900 N IH 35  ,Highway or divided highway
2,07/20/2018 17:41:36,"Steam, vapor, fog or dust thought to be smoke",  River RD ,Highway or divided highway
1,07/20/2018 17:53:27,"EMS call, excluding vehicle accident with injury",1506 S IH 35  ,Multifamily dwellings
2,07/20/2018 18:31:33,Vehicle accident with injuries,201  SB  ,Highway or divided highway
1,07/20/2018 19:14:09,"EMS call, excluding vehicle accident with injury",1600 N IH 35  ,"24-hour care Nursing homes, 4 or more persons"
1,07/20/2018 20:30:10,"EMS call, excluding vehicle accident with injury",607  Dale DR ,1 or 2 family dwelling
1,07/20/2018 20:49:28,"EMS call, excluding vehicle accident with injury",1720  Old Ranch Road 12  ,"24-hour care Nursing homes, 4 or more persons"
3,07/20/2018 21:18:53,"Outside rubbish, trash or waste fire",1900  Aquarena Springs DR ,Graded and cared-for plots of land
1,07/20/2018 23:16:59,"EMS call, excluding vehicle accident with injury",503  Springtown WAY ,Multifamily dwellings
1,07/20/2018 23:51:04,No incident found on arrival at dispatch address,503  Uhland RD ,1 or 2 family dwelling
1,07/21/2018 0:05:52,"EMS call, excluding vehicle accident with injury",1429 N IH 35  ,"Hotel/motel, commercial"
1,07/21/2018 3:58:54,"EMS call, excluding vehicle accident with injury",301  Telluride ST ,1 or 2 family dwelling
1,07/21/2018 8:58:41,"EMS call, excluding vehicle accident with injury",2600  Hunter RD ,Multifamily dwellings
1,07/21/2018 9:09:14,"EMS call, excluding vehicle accident with injury",1506 S IH 35  ,Multifamily dwellings
1,07/21/2018 9:42:54,"EMS call, excluding vehicle accident with injury",1101  Davis LN ,"Dormitory type residence, other"
2,07/21/2018 11:56:20,Motor vehicle accident with no injuries,200 E Sessom DR ,Highway or divided highway
1,07/21/2018 14:18:23,"EMS call, excluding vehicle accident with injury",170  Charles Austin DR ,"Lake, river, stream"
1,07/21/2018 14:39:27,"Alarm system sounded, no fire - unintentional",1001 E McCarty LN ,"Hotel/motel, commercial"
4,07/21/2018 17:01:26,Vehicle accident with injuries,208  NB  ,Highway or divided highway
1,07/21/2018 17:30:36,"EMS call, excluding vehicle accident with injury",4001 S IH 35  ,Vehicle parking area
4,07/21/2018 17:48:31,Motor vehicle accident with no injuries,  Yarrington RD ,"Residential street, road or residential driveway"
5,07/21/2018 17:56:44,Vehicle accident with injuries,  Hunter RD ,"Street, other"
1,07/21/2018 18:19:07,"Electrical  wiring/equipment problem, other",200  Robbie LN ,Multifamily dwellings
1,07/21/2018 18:42:45,"EMS call, excluding vehicle accident with injury",2  Timbercrest  ,1 or 2 family dwelling
1,07/21/2018 21:25:15,Motor vehicle accident with no injuries,  Aquarena Springs DR ,Highway or divided highway
1,07/22/2018 3:53:33,"EMS call, excluding vehicle accident with injury",1401  Wonder World DR ,"24-hour care Nursing homes, 4 or more persons"
3,07/22/2018 12:33:42,"False alarm or false call, other",1951  Aquarena Springs DR ,Multifamily dwellings
2,07/22/2018 13:48:02,Motor vehicle accident with no injuries,  EXIT 204A SB  ,Highway or divided highway
1,07/22/2018 15:23:10,"EMS call, excluding vehicle accident with injury",1401  Wonder World DR ,Residential board and care
2,07/22/2018 18:24:28,Assist police or other governmental agency,208  NB  ,Highway or divided highway
2,07/22/2018 18:38:25,"Accident, potential accident, other",205  NB  ,Highway or divided highway
1,07/22/2018 21:26:04,"EMS call, excluding vehicle accident with injury",2250  Clovis Barker RD ,"Reformatory, juvenile detention center"
1,07/22/2018 22:48:28,Motor vehicle accident with no injuries, S Old Bastrop HWY ,Highway or divided highway
1,07/23/2018 2:31:24,"EMS call, excluding vehicle accident with injury",313 N LBJ DR ,Street or road in commercial area
1,07/23/2018 7:18:15,"Medical assist, assist EMS crew",721  Gravel ST ,1 or 2 family dwelling
1,07/23/2018 9:54:21,Public service,206  SB  ,Highway or divided highway
1,07/23/2018 11:22:48,"EMS call, excluding vehicle accident with injury",417 S Mitchell AVE ,Multifamily dwellings
1,07/23/2018 12:54:01,"Medical assist, assist EMS crew",1951  Hunter RD ,Multifamily dwellings
1,07/23/2018 13:51:05,"EMS call, excluding vehicle accident with injury",307 W Sierra CIR ,1 or 2 family dwelling
2,07/23/2018 14:14:38,Motor vehicle accident with no injuries,1900 S IH 35 RD ,Vehicle parking area
1,07/23/2018 16:15:50,"Medical assist, assist EMS crew",242 N LBJ DR ,"Eating, drinking places"
1,07/23/2018 18:53:11,"EMS call, excluding vehicle accident with injury",1101  Leah AVE ,Multifamily dwellings
2,07/23/2018 21:10:22,"EMS call, excluding vehicle accident with injury",1951  Aquarena Springs DR ,Multifamily dwellings
2,07/23/2018 22:33:18,Motor vehicle accident with no injuries,207  SB  ,Highway or divided highway
1,07/24/2018 1:43:51,"EMS call, excluding vehicle accident with injury",1103  Hwy 80  ,Vehicle parking area
1,07/24/2018 2:55:38,"Medical assist, assist EMS crew",1116  Sycamore ST ,1 or 2 family dwelling
2,07/24/2018 4:24:55,Vehicle accident with injuries,209 E Access RD ,Highway or divided highway
1,07/24/2018 8:25:33,Gas leak (natural gas or LPG),903 W San Antonio ST ,1 or 2 family dwelling
1,07/24/2018 8:29:28,"Smoke scare, odor of smoke",503  Springtown WAY ,Multifamily dwellings
1,07/24/2018 8:50:07,"EMS call, excluding vehicle accident with injury",155  Wonder World DR ,"Clinic, clinic-type infirmary"
1,07/24/2018 11:29:21,"EMS call, excluding vehicle accident with injury",1740  Old Ranch Road 12  ,1 or 2 family dwelling
1,07/24/2018 12:16:38,"False alarm or false call, other",300 S Stagecoach TRL ,Multifamily dwellings
1,07/24/2018 12:25:18,"EMS call, excluding vehicle accident with injury",1351  Sadler DR ,"24-hour care Nursing homes, 4 or more persons"
2,07/24/2018 12:30:09,Motor vehicle accident with no injuries,1000  Hwy 123  ,Highway or divided highway
1,07/24/2018 14:24:34,Motor vehicle accident with no injuries,100  University DR ,"Street, other"
2,07/24/2018 15:10:58,Alarm system sounded due to malfunction,1340  Wonder World DR ,"Clinics, Doctors offices, hemodialysis centers"
1,07/24/2018 16:56:46,Motor vehicle accident with no injuries, E Access RD ,Street or road in commercial area
2,07/24/2018 18:30:00,Motor vehicle accident with no injuries,202  SB  ,Highway or divided highway
1,07/24/2018 18:58:44,Public service,202  NB  ,Highway or divided highway
1,07/24/2018 19:41:20,"EMS call, excluding vehicle accident with injury",555  Cheatham ST ,Playground
1,07/24/2018 22:08:46,"EMS call, excluding vehicle accident with injury",2600  Hunter RD ,Multifamily dwellings
2,07/24/2018 22:58:30,Motor vehicle accident with no injuries,208  NB  ,Highway or divided highway
2,07/25/2018 7:40:52,"EMS call, excluding vehicle accident with injury",500  Aquarena Springs DR ,Highway or divided highway
2,07/25/2018 8:54:49,"EMS call, excluding vehicle accident with injury",1740  Old Ranch Road 12  ,Multifamily dwellings
2,07/25/2018 9:17:09,Motor vehicle accident with no injuries, W Access RD ,Highway or divided highway
2,07/25/2018 10:03:35,"EMS call, excluding vehicle accident with injury", W Sessom DR ,"Residential street, road or residential driveway"
1,07/25/2018 14:14:02,"EMS call, excluding vehicle accident with injury",706  Foxtail RUN ,1 or 2 family dwelling
1,07/25/2018 14:16:16,"EMS call, excluding vehicle accident with injury",2406  Hunter RD ,"Clinics, Doctors offices, hemodialysis centers"
1,07/25/2018 15:00:08,Vehicle accident with injuries,  Post RD ,"Street, other"
1,07/25/2018 15:51:55,"EMS call, excluding vehicle accident with injury",518  Linda DR ,Multifamily dwellings
1,07/25/2018 17:29:24,"Medical assist, assist EMS crew",1800  Post RD ,Multifamily dwellings
1,07/25/2018 22:51:01,"EMS call, excluding vehicle accident with injury",317  Craddock AVE ,Multifamily dwellings
1,07/25/2018 23:50:23,"EMS call, excluding vehicle accident with injury",1506 S IH 35  ,Multifamily dwellings
1,07/26/2018 2:22:37,"EMS call, excluding vehicle accident with injury",1720  Old Ranch Road 12  ,Multifamily dwellings
1,07/26/2018 8:05:31,Hazmat release investigation w/ no hazmat,421  Broadway ST ,1 or 2 family dwelling
1,07/26/2018 12:57:39,Power line down,1402  Andra LN ,"Residential street, road or residential driveway"
1,07/26/2018 13:37:58,"Medical assist, assist EMS crew",318  Jackman ST ,1 or 2 family dwelling
1,07/26/2018 15:24:03,"EMS call, excluding vehicle accident with injury",1340  Wonder World DR ,"Clinic, clinic-type infirmary"
2,07/26/2018 16:04:33,No incident found on arrival at dispatch address,210  NB  ,Highway or divided highway
1,07/26/2018 18:18:38,"EMS call, excluding vehicle accident with injury",1401  Wonder World DR ,"24-hour care Nursing homes, 4 or more persons"
1,07/26/2018 20:09:14,"EMS call, excluding vehicle accident with injury",1900  Aquarena Springs DR ,Multifamily dwellings
1,07/26/2018 22:07:22,"EMS call, excluding vehicle accident with injury",1951  Hunter RD ,Multifamily dwellings
1,07/26/2018 22:09:42,"Medical assist, assist EMS crew",300 S Stagecoach TRL ,Multifamily dwellings
1,07/27/2018 1:29:57,"EMS call, excluding vehicle accident with injury",503  Springtown WAY ,Multifamily dwellings
1,07/27/2018 10:47:14,"EMS call, excluding vehicle accident with injury",1351  Sadler DR ,"24-hour care Nursing homes, 4 or more persons"
1,07/27/2018 11:11:48,No incident found on arrival at dispatch address,208  NB  ,Highway or divided highway
3,07/27/2018 12:14:17,Vehicle accident with injuries,208  NB  ,Highway or divided highway
1,07/27/2018 12:36:17,"EMS call, excluding vehicle accident with injury",1348  Thorpe LN ,Multifamily dwellings
2,07/27/2018 13:01:05,Motor vehicle accident with no injuries,204  NB  ,Highway or divided highway
1,07/27/2018 14:20:49,Vehicle accident with injuries,1300  Hwy 123  ,Street or road in commercial area
1,07/27/2018 14:46:06,"EMS call, excluding vehicle accident with injury",700  Barnes DR ,"Household goods, sales, repairs"
2,07/27/2018 16:40:39,Vehicle accident with injuries,204 W Access RD ,Highway or divided highway
1,07/27/2018 20:15:36,Bomb scare - no bomb,930  Luciano Flores BLVD ,Post office or mailing firms
1,07/27/2018 21:00:26,"Malicious, mischievous false call, other",3939 S IH 35  ,Department or discount store
2,07/27/2018 22:45:56,Motor vehicle accident with no injuries,199  SB  ,Highway or divided highway
1,07/28/2018 13:11:25,"EMS call, excluding vehicle accident with injury",1015  Hwy 80  ,"General retail, other"
1,07/28/2018 15:25:58,Power line down,  Prospect ST ,"Residential street, road or residential driveway"
2,07/28/2018 16:03:36,"EMS call, excluding vehicle accident with injury",204  EXIT 204 NB  ,Highway or divided highway
2,07/28/2018 16:05:44,"Alarm system sounded, no fire - unintentional",3939 S IH 35  ,"Textile, wearing apparel sales"
1,07/28/2018 16:43:49,"EMS call, excluding vehicle accident with injury",214  Valero DR ,1 or 2 family dwelling
1,07/28/2018 21:15:52,"EMS call, excluding vehicle accident with injury",1401  Wonder World DR ,"24-hour care Nursing homes, 4 or more persons"
1,07/28/2018 21:35:39,"Medical assist, assist EMS crew",2006  Nevada ST ,1 or 2 family dwelling
1,07/28/2018 23:01:45,"Trash or rubbish fire, contained",512  Craddock AVE ,Multifamily dwellings
1,07/29/2018 0:13:03,"EMS call, excluding vehicle accident with injury",2805  Hunter RD ,"Residential street, road or residential driveway"
1,07/29/2018 0:18:19,"Medical assist, assist EMS crew",1800  Post RD ,Multifamily dwellings
1,07/29/2018 1:04:23,"EMS call, excluding vehicle accident with injury",105  Bintu DR ,"Hotel/motel, commercial"
1,07/29/2018 4:02:48,"Medical assist, assist EMS crew",1410 N LBJ DR ,Multifamily dwellings
1,07/29/2018 6:25:14,"Medical assist, assist EMS crew",1720  Old Ranch Road 12  ,"24-hour care Nursing homes, 4 or more persons"
1,07/29/2018 8:35:00,"Medical assist, assist EMS crew",1351  Sadler DR ,"24-hour care Nursing homes, 4 or more persons"
3,07/29/2018 9:05:33,"Brush, or brush and grass mixture fire",650  River RD ,Graded and cared-for plots of land
1,07/29/2018 12:50:31,"Smoke detector activation, no fire - unintentional",211  Orchard ST ,1 or 2 family dwelling
1,07/29/2018 13:20:39,"EMS call, excluding vehicle accident with injury",2600  Hunter RD ,Multifamily dwellings
5,07/29/2018 14:27:40,Chemical hazard (no spill or leak),1011 N IH 35  ,Vacant lot
1,07/29/2018 15:25:43,Motor vehicle accident with no injuries,1100  Hwy 80  ,Street or road in commercial area
2,07/29/2018 17:28:50,Vehicle accident with injuries,600 W Blanco ST ,"Residential street, road or residential driveway"
1,07/29/2018 18:04:16,"EMS call, excluding vehicle accident with injury",1000  Technology WAY ,Vehicle parking area
1,07/29/2018 18:10:29,"EMS call, excluding vehicle accident with injury",2600  Hunter RD ,Multifamily dwellings
3,07/29/2018 18:40:40,Search for person in water,601 S C M Allen PKWY ,"Lake, river, stream"
1,07/29/2018 18:53:00,"EMS call, excluding vehicle accident with injury",  Post RD ,"Service station, gas station"
1,07/29/2018 19:15:03,Motor vehicle accident with no injuries, E Sessom DR ,Street or road in commercial area
2,07/29/2018 19:27:55,Assist police or other governmental agency,705  River RD ,Multifamily dwellings
1,07/29/2018 21:51:14,"EMS call, excluding vehicle accident with injury",1740  Old Ranch Road 12  ,Multifamily dwellings
1,07/29/2018 22:36:40,"EMS call, excluding vehicle accident with injury",2600  Hunter RD ,Multifamily dwellings
1,07/29/2018 23:37:41,Hazmat release investigation w/ no hazmat,426  Linda DR ,1 or 2 family dwelling
2,07/30/2018 9:24:19,Public service,206  NB  ,Highway or divided highway
1,07/30/2018 10:02:15,EMS: Dispatched & cancelled en route,600  Leah AVE ,Clubhouse
1,07/30/2018 11:41:46,"EMS call, excluding vehicle accident with injury",215  Ramsay ST ,Multifamily dwellings
1,07/30/2018 11:44:19,Motor vehicle accident with no injuries,500 W Hopkins ST ,"Residential street, road or residential driveway"
1,07/30/2018 12:20:26,Motor vehicle accident with no injuries,1337  Thorpe LN ,Street or road in commercial area
2,07/30/2018 14:25:03,Vehicle accident with injuries,199  NB  ,Highway or divided highway
2,07/30/2018 15:33:55,Motor vehicle accident with no injuries, W Wonder World DR ,Highway or divided highway
12,07/30/2018 15:55:10,Building fire - Residential,1416  Wonder World DR ,1 or 2 family dwelling
1,07/30/2018 19:04:14,"EMS call, excluding vehicle accident with injury",1740  Old Ranch Road 12  ,Multifamily dwellings
0,07/30/2018 19:50:17,Gas leak (natural gas or LPG),5101 S IH 35  ,"Motor vehicle or boat sales, services, repair"
2,07/30/2018 20:01:48,Motor vehicle accident with no injuries, W Access RD ,Street or road in commercial area
2,07/30/2018 20:10:26,Public service,208  NB  ,Highway or divided highway
3,07/30/2018 20:26:08,"Alarm system sounded, no fire - unintentional",1980  Aquarena Springs DR ,Multifamily dwellings
